metric,chapter,pair,n_a,n_b,U,p,r,r_label,direction,median_a,median_b,bonf_sig,degenerate
BERTScore_Recall,ch6,Form vs Chat,37,39,561.0,0.096351734938341,-0.2224532224532224,small,Chat > Form,0.8835717439651489,0.900667130947113,False,False
BERTScore_Recall,ch6,Ask vs Chat,37,39,541.0,0.06139303142220748,-0.2501732501732502,small,Chat > Ask,0.8846580386161804,0.900667130947113,False,False
BERTScore_F1,ch1,Form vs Ask,37,37,509.0,0.058501652568864325,-0.256391526661797,small,Ask > Form,0.8629429790969803,0.8747872086273147,False,False
BERTScore_F1,ch1,Form vs Chat,37,39,715.5,0.9544183244739993,-0.008316008316008316,negligible,Chat > Form,0.8629429790969803,0.8646601498055327,False,False
BERTScore_F1,ch1,Ask vs Chat,37,39,951.0,0.017317910059330102,0.31808731808731805,medium,Ask > Chat,0.8747872086273147,0.8646601498055327,False,False
BERTScore_F1,ch2,Form vs Ask,37,37,881.0,0.03409466742753333,0.2870708546384222,small,Form > Ask,0.8918483892498602,0.8811664436245376,False,False
BERTScore_F1,ch2,Form vs Chat,37,39,668.0,0.5817682289932238,-0.07415107415107414,negligible,Chat > Form,0.8918483892498602,0.8958672325534451,False,False
BERTScore_F1,ch2,Ask vs Chat,37,39,487.0,0.015021909662592772,-0.32501732501732505,medium,Chat > Ask,0.8811664436245376,0.8958672325534451,True,False
BERTScore_F1,ch3,Form vs Ask,37,37,1323.0,5.2963106911584854e-12,0.9327976625273922,large,Form > Ask,0.9051571111622,0.873968275965293,True,False
BERTScore_F1,ch3,Form vs Chat,37,39,1228.0,1.4514305304795959e-07,0.702009702009702,large,Form > Chat,0.9051571111622,0.8791210933669907,True,False
BERTScore_F1,ch3,Ask vs Chat,37,39,562.0,0.09845075776348516,-0.2210672210672211,small,Chat > Ask,0.873968275965293,0.8791210933669907,False,False
BERTScore_F1,ch4,Form vs Ask,37,37,977.0,0.0015950879250437927,0.42731921110299487,medium,Form > Ask,0.8763712061721148,0.8589140456138198,True,False
BERTScore_F1,ch4,Form vs Chat,37,39,1048.0,0.0007041982409622229,0.45252945252945254,medium,Form > Chat,0.8763712061721148,0.8685622205748208,True,False
BERTScore_F1,ch4,Ask vs Chat,37,39,686.0,0.7160552894594225,-0.04920304920304919,negligible,Chat > Ask,0.8589140456138198,0.8685622205748208,False,False
BERTScore_F1,ch5,Form vs Ask,37,37,755.0,0.4491888889085044,0.10299488677867052,small,Form > Ask,0.8506938938484414,0.8383251438704781,False,False
BERTScore_F1,ch5,Form vs Chat,37,39,465.0,0.007803220182339921,-0.3555093555093555,medium,Chat > Form,0.8506938938484414,0.8622082160335491,True,False
BERTScore_F1,ch5,Ask vs Chat,37,39,444.0,0.003993063003993328,-0.3846153846153846,medium,Chat > Ask,0.8383251438704781,0.8622082160335491,True,False
BERTScore_F1,ch6,Form vs Ask,37,37,574.0,0.23435829904992733,-0.16143170197224255,small,Ask > Form,0.8518015112473383,0.8683121180374096,False,False
